directors,popularity,stars,title,writers
Martin Scorsese,505,"Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo",Shutter Island,"Laeta Kalogridis,Dennis Lehane"
Dean DeBlois,"1,278","Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse",How to Train Your Dragon,"William Davies,Dean DeBlois"
Quentin Tarantino,248,"Uma Thurman,David Carradine,Daryl Hannah",Kill Bill: Vol. 1,"Quentin Tarantino,Quentin Tarantino"
Stuart Rosenberg,"2,569","Paul Newman,George Kennedy,Strother Martin",Cool Hand Luke,"Donn Pearce,Frank Pierson"
Joel Coen,515,"Jeff Bridges,John Goodman,Julianne Moore",The Big Lebowski,"Ethan Coen,Joel Coen"
Andrew Stanton,855,"Albert Brooks,Ellen DeGeneres,Alexander Gould",Finding Nemo,"Andrew Stanton,Andrew Stanton"
Andrei Tarkovsky,,"Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko",Andrei Rublev,"Andrey Konchalovskiy,Andrei Tarkovsky"
Joel Coen,325,"William H. Macy,Frances McDormand,Steve Buscemi",Fargo,"Ethan Coen,Joel Coen"
Ethan Coen,362,"Tommy Lee Jones,Javier Bardem,Josh Brolin",No Country for Old Men,"Joel Coen,Ethan Coen"
M. Night Shyamalan,588,"Bruce Willis,Haley Joel Osment,Toni Collette",The Sixth Sense,M. Night Shyamalan
Alfred Hitchcock,,"Ray Milland,Grace Kelly,Robert Cummings",Dial M for Murder,"Frederick Knott,Frederick Knott"
Clint Eastwood,803,"Clint Eastwood,Bee Vang,Christopher Carley",Gran Torino,"Nick Schenk,Dave Johannson"
Danny Boyle,632,"Ewan McGregor,Ewen Bremner,Jonny Lee Miller",Trainspotting,"Irvine Welsh,John Hodge"
James McTeigue,637,"Hugo Weaving,Natalie Portman,Rupert Graves",V for Vendetta,"Lilly Wachowski,Lana Wachowski"
Victor Fleming,947,"Clark Gable,Vivien Leigh,Thomas Mitchell",Gone with the Wind,"Margaret Mitchell,Sidney Howard"
Denis Villeneuve,23,"Harrison Ford,Ryan Gosling,Ana de Armas",Blade Runner 2049,"Hampton Fancher,Michael Green"
David Lynch,,"Anthony Hopkins,John Hurt,Anne Bancroft",The Elephant Man,"Christopher De Vore,Eric Bergren"
Ron Howard,610,"Russell Crowe,Ed Harris,Jennifer Connelly",A Beautiful Mind,"Akiva Goldsman,Sylvia Nasar"
Martin Scorsese,906,"Robert De Niro,Sharon Stone,Joe Pesci",Casino,"Nicholas Pileggi,Nicholas Pileggi"
Ingmar Bergman,,"Max von Sydow,Gunnar Björnstrand,Bengt Ekerot",The Seventh Seal,"Ingmar Bergman,Ingmar Bergman"
Frank Capra,"1,752","James Stewart,Jean Arthur,Claude Rains",Mr. Smith Goes to Washington,"Sidney Buchman,Lewis R. Foster"
Lenny Abrahamson,178,"Brie Larson,Jacob Tremblay,Sean Bridgers",Room,"Emma Donoghue,Emma Donoghue"
Pete Docter,495,"Amy Poehler,Bill Hader,Lewis Black",Inside Out,"Pete Docter,Ronnie Del Carmen"
David Lean,"2,753","William Holden,Alec Guinness,Jack Hawkins",The Bridge on the River Kwai,"Pierre Boulle,Carl Foreman"
Stanley Kramer,"4,851","Spencer Tracy,Burt Lancaster,Richard Widmark",Judgment at Nuremberg,"Abby Mann,Abby Mann"
Hayao Miyazaki,967,"Chieko Baishô,Takuya Kimura,Tatsuya Gashûin",Howl's Moving Castle,"Hayao Miyazaki,Diana Wynne Jones"
Juan José Campanella,"1,282","Ricardo Darín,Soledad Villamil,Pablo Rago",The Secret in Their Eyes,"Eduardo Sacheri,Juan José Campanella"
Hayao Miyazaki,,"Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto",My Neighbor Totoro,Hayao Miyazaki
Akira Kurosawa,"3,292","Tatsuya Nakadai,Akira Terao,Jinpachi Nezu",Ran,"Akira Kurosawa,Hideo Oguni"
Majid Majidi,,"Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi",Children of Heaven,Majid Majidi
Roman Polanski,"1,394","Jack Nicholson,Faye Dunaway,John Huston",Chinatown,Robert Towne
Denis Villeneuve,"1,257","Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette",Incendies,"Denis Villeneuve,Wajdi Mouawad"
Oliver Hirschbiegel,"1,201","Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes",Downfall,"Bernd Eichinger,Joachim Fest"
Carol Reed,,"Orson Welles,Joseph Cotten,Alida Valli",The Third Man,"Graham Greene,Graham Greene"
Billy Wilder,"1,971","Marilyn Monroe,Tony Curtis,Jack Lemmon",Some Like It Hot,"Billy Wilder,I.A.L. Diamond"
Christopher Nolan,366,"Christian Bale,Michael Caine,Ken Watanabe",Batman Begins,"Bob Kane,David S. Goyer"
Joseph L. Mankiewicz,"3,165","Bette Davis,Anne Baxter,George Sanders",All About Eve,Joseph L. Mankiewicz
Akira Kurosawa,,"Toshirô Mifune,Machiko Kyô,Masayuki Mori",Rashomon,"Ryûnosuke Akutagawa,Akira Kurosawa"
Martin McDonagh,6,"Frances McDormand,Woody Harrelson,Sam Rockwell","Three Billboards Outside Ebbing, Missouri",Martin McDonagh
Steven Spielberg,981,"Harrison Ford,Sean Connery,Alison Doody",Indiana Jones and the Last Crusade,"Jeffrey Boam,George Lucas"
Billy Wilder,,"Jack Lemmon,Shirley MacLaine,Fred MacMurray",The Apartment,"Billy Wilder,I.A.L. Diamond"
Fritz Lang,"2,136","Brigitte Helm,Alfred Abel,Gustav Fröhlich",Metropolis,"Thea von Harbou,Thea von Harbou"
Asghar Farhadi,"2,183","Payman Maadi,Leila Hatami,Sareh Bayat",A Separation,Asghar Farhadi
Brian De Palma,504,"Al Pacino,Michelle Pfeiffer,Steven Bauer",Scarface,Oliver Stone
Curtis Hanson,"1,067","Kevin Spacey,Russell Crowe,Guy Pearce",L.A. Confidential,"James Ellroy,Brian Helgeland"
Terry Gilliam,"1,566","Graham Chapman,John Cleese,Eric Idle",Monty Python and the Holy Grail,"Graham Chapman,John Cleese"
Thomas Vinterberg,"1,023","Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp",The Hunt,"Tobias Lindholm,Thomas Vinterberg"
Gus Van Sant,487,"Robin Williams,Matt Damon,Ben Affleck",Good Will Hunting,"Matt Damon,Ben Affleck"
Guy Ritchie,513,"Jason Statham,Brad Pitt,Benicio Del Toro",Snatch,Guy Ritchie
Stanley Kubrick,365,"Matthew Modine,R. Lee Ermey,Vincent D'Onofrio",Full Metal Jacket,"Stanley Kubrick,Michael Herr"
George Roy Hill,"1,522","Paul Newman,Robert Redford,Robert Shaw",The Sting,David S. Ward
John Lasseter,564,"Tom Hanks,Tim Allen,Don Rickles",Toy Story,"John Lasseter,Pete Docter"
Martin Scorsese,503,"Robert De Niro,Jodie Foster,Cybill Shepherd",Taxi Driver,Paul Schrader
Stanley Kubrick,533,"Keir Dullea,Gary Lockwood,William Sylvester",2001: A Space Odyssey,"Stanley Kubrick,Arthur C. Clarke"
Michel Gondry,298,"Jim Carrey,Kate Winslet,Tom Wilkinson",Eternal Sunshine of the Spotless Mind,"Charlie Kaufman,Michel Gondry"
Billy Wilder,"3,815","Fred MacMurray,Barbara Stanwyck,Edward G. Robinson",Double Indemnity,"Billy Wilder,Raymond Chandler"
David Lean,"1,633","Peter O'Toole,Alec Guinness,Anthony Quinn",Lawrence of Arabia,"T.E. Lawrence,Robert Bolt"
Stanley Kubrick,423,"Malcolm McDowell,Patrick Magee,Michael Bates",A Clockwork Orange,"Stanley Kubrick,Anthony Burgess"
Milos Forman,"1,019","F. Murray Abraham,Tom Hulce,Elizabeth Berridge",Amadeus,"Peter Shaffer,Peter Shaffer"
Jean-Pierre Jeunet,810,"Audrey Tautou,Mathieu Kassovitz,Rufus",Amélie,"Guillaume Laurant,Jean-Pierre Jeunet"
Aamir Khan,,"Darsheel Safary,Aamir Khan,Tanay Chheda",Like Stars on Earth,"Amole Gupte,Amole Gupte"
Darren Aronofsky,332,"Ellen Burstyn,Jared Leto,Jennifer Connelly",Requiem for a Dream,"Hubert Selby Jr.,Hubert Selby Jr."
Makoto Shinkai,305,"Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita",Your Name,"Makoto Shinkai,Makoto Shinkai"
Fritz Lang,,"Peter Lorre,Ellen Widmann,Inge Landgut",M,"Thea von Harbou,Fritz Lang"
Richard Marquand,745,"Mark Hamill,Harrison Ford,Carrie Fisher",Star Wars: Episode VI - Return of the Jedi,"Lawrence Kasdan,George Lucas"
Mel Gibson,428,"Mel Gibson,Sophie Marceau,Patrick McGoohan",Braveheart,Randall Wallace
Quentin Tarantino,576,"Harvey Keitel,Tim Roth,Michael Madsen",Reservoir Dogs,"Quentin Tarantino,Quentin Tarantino"
Alfred Hitchcock,"2,117","Cary Grant,Eva Marie Saint,James Mason",North by Northwest,Ernest Lehman
Nitesh Tiwari,,"Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh",Dangal,"Piyush Gupta,Shreyas Jain"
Alfred Hitchcock,,"James Stewart,Kim Novak,Barbara Bel Geddes",Vertigo,"Alec Coppel,Samuel A. Taylor"
Orson Welles,"1,450","Orson Welles,Joseph Cotten,Dorothy Comingore",Citizen Kane,"Herman J. Mankiewicz,Orson Welles"
Hayao Miyazaki,"1,484","Yôji Matsuda,Yuriko Ishida,Yûko Tanaka",Princess Mononoke,"Hayao Miyazaki,Neil Gaiman"
Stanley Kubrick,301,"Jack Nicholson,Shelley Duvall,Danny Lloyd",The Shining,"Stephen King,Stanley Kubrick"
Andrew Stanton,"1,032","Ben Burtt,Elissa Knight,Jeff Garlin",WALL·E,"Andrew Stanton,Pete Docter"
Stanley Kubrick,,"Kirk Douglas,Ralph Meeker,Adolphe Menjou",Paths of Glory,"Stanley Kubrick,Calder Willingham"
Isao Takahata,,"Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi",Grave of the Fireflies,"Akiyuki Nosaka,Isao Takahata"
Stanley Kubrick,"1,242","Peter Sellers,George C. Scott,Sterling Hayden",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Stanley Kubrick,Terry Southern"
Florian Henckel von Donnersmarck,938,"Ulrich Mühe,Martina Gedeck,Sebastian Koch",The Lives of Others,Florian Henckel von Donnersmarck
Giuseppe Tornatore,"2,098","Philippe Noiret,Enzo Cannavale,Antonella Attili",Cinema Paradiso,"Giuseppe Tornatore,Giuseppe Tornatore"
Billy Wilder,,"William Holden,Gloria Swanson,Erich von Stroheim",Sunset Boulevard,"Charles Brackett,Billy Wilder"
Charles Chaplin,,"Charles Chaplin,Paulette Goddard,Jack Oakie",The Great Dictator,Charles Chaplin
Lee Unkrich,21,"Anthony Gonzalez,Gael García Bernal,Benjamin Bratt",Coco,"Lee Unkrich,Jason Katz"
Francis Ford Coppola,373,"Martin Sheen,Marlon Brando,Robert Duvall",Apocalypse Now,"John Milius,Francis Ford Coppola"
Christopher Nolan,463,"Guy Pearce,Carrie-Anne Moss,Joe Pantoliano",Memento,"Christopher Nolan,Jonathan Nolan"
Ridley Scott,336,"Sigourney Weaver,Tom Skerritt,John Hurt",Alien,"Dan O'Bannon,Ronald Shusett"
Christopher Nolan,246,"Christian Bale,Hugh Jackman,Scarlett Johansson",The Prestige,"Jonathan Nolan,Christopher Nolan"
Roger Allers,184,"Matthew Broderick,Jeremy Irons,James Earl Jones",The Lion King,"Irene Mecchi,Jonathan Roberts"
Ridley Scott,276,"Russell Crowe,Joaquin Phoenix,Connie Nielsen",Gladiator,"David Franzoni,David Franzoni"
Robert Zemeckis,347,"Michael J. Fox,Christopher Lloyd,Lea Thompson",Back to the Future,"Robert Zemeckis,Bob Gale"
Steven Spielberg,525,"Harrison Ford,Karen Allen,Paul Freeman",Raiders of the Lost Ark,"Lawrence Kasdan,George Lucas"
James Cameron,593,"Arnold Schwarzenegger,Linda Hamilton,Edward Furlong",Terminator 2,"James Cameron,William Wisher"
Damien Chazelle,268,"Miles Teller,J.K. Simmons,Melissa Benoist",Whiplash,Damien Chazelle
Roman Polanski,689,"Adrien Brody,Thomas Kretschmann,Frank Finlay",The Pianist,"Ronald Harwood,Wladyslaw Szpilman"
Charles Chaplin,"3,699","Charles Chaplin,Paulette Goddard,Henry Bergman",Modern Times,Charles Chaplin
Alfred Hitchcock,815,"James Stewart,Grace Kelly,Wendell Corey",Rear Window,"John Michael Hayes,Cornell Woolrich"
Michael Curtiz,583,"Humphrey Bogart,Ingrid Bergman,Paul Henreid",Casablanca,"Julius J. Epstein,Philip G. Epstein"
Olivier Nakache,581,"François Cluzet,Omar Sy,Anne Le Ny",The Intouchables,"Olivier Nakache,Éric Toledano"
Charles Chaplin,,"Charles Chaplin,Virginia Cherrill,Florence Lee",City Lights,Charles Chaplin
Alfred Hitchcock,294,"Anthony Perkins,Janet Leigh,Vera Miles",Psycho,"Joseph Stefano,Robert Bloch"
Frank Darabont,390,"Tom Hanks,Michael Clarke Duncan,David Morse",The Green Mile,"Stephen King,Frank Darabont"
Sergio Leone,844,"Henry Fonda,Charles Bronson,Claudia Cardinale",Once Upon a Time in the West,"Sergio Donati,Sergio Leone"
Steven Spielberg,404,"Tom Hanks,Matt Damon,Tom Sizemore",Saving Private Ryan,Robert Rodat
Christopher Nolan,140,"Matthew McConaughey,Anne Hathaway,Jessica Chastain",Interstellar,"Jonathan Nolan,Christopher Nolan"
Tony Kaye,496,"Edward Norton,Edward Furlong,Beverly D'Angelo",American History X,David McKenna
Hayao Miyazaki,587,"Daveigh Chase,Suzanne Pleshette,Miyu Irino",Spirited Away,Hayao Miyazaki
Luc Besson,260,"Jean Reno,Gary Oldman,Natalie Portman",Léon: The Professional,Luc Besson
Bryan Singer,437,"Kevin Spacey,Gabriel Byrne,Chazz Palminteri",The Usual Suspects,Christopher McQuarrie
Frank Capra,"1,155","James Stewart,Donna Reed,Lionel Barrymore",It's a Wonderful Life,"Frances Goodrich,Albert Hackett"
Roberto Benigni,402,"Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini",Life Is Beautiful,"Vincenzo Cerami,Roberto Benigni"
Fernando Meirelles,535,"Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele",City of God,"Paulo Lins,Bráulio Mantovani"
David Fincher,358,"Morgan Freeman,Brad Pitt,Kevin Spacey",Se7en,Andrew Kevin Walker
George Lucas,307,"Mark Hamill,Harrison Ford,Carrie Fisher",Star Wars: Episode IV - A New Hope,George Lucas
Jonathan Demme,158,"Jodie Foster,Anthony Hopkins,Lawrence A. Bonney",The Silence of the Lambs,"Thomas Harris,Ted Tally"
Akira Kurosawa,"1,162","Toshirô Mifune,Takashi Shimura,Keiko Tsushima",Seven Samurai,"Akira Kurosawa,Shinobu Hashimoto"
Lana Wachowski,297,"Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss",The Matrix,"Lilly Wachowski,Lana Wachowski"
Martin Scorsese,120,"Robert De Niro,Ray Liotta,Joe Pesci",Goodfellas,"Nicholas Pileggi,Nicholas Pileggi"
